id,name,brand,category,price,rating,stock,description,battery_hours,battery_days,noise_cancellation,water_resistance,connectivity,microphone_count,charging_type,weight_grams,fast_charging,spatial_audio,gps,display_type,display_size_inches,heart_rate_monitor,spo2_monitor,sleep_tracking,step_tracking,calling,layout,keyboard_type,wireless,switch_type,backlit,rgb,hot_swappable,key_count
EB001,SoundMax ANC Pro,SoundMax,Earbuds,2399,4.5,25,SoundMax ANC Pro wireless earbuds for everyday listening.,40,,True,IPX5,Bluetooth 5.3,4,USB-C,48,True,True,,,,,,,,,,,,,,,,
EB002,EchoBuds Air,EchoBuds,Earbuds,1799,4.2,40,EchoBuds Air wireless earbuds for everyday listening.,32,,False,IPX4,Bluetooth 5.2,2,USB-C,44,True,False,,,,,,,,,,,,,,,,
EB003,PulsePods Max,PulsePods,Earbuds,2899,4.6,18,PulsePods Max wireless earbuds for everyday listening.,45,,True,IPX5,Bluetooth 5.3,6,USB-C,52,True,True,,,,,,,,,,,,,,,,
EB004,NovaBuds S,Nova,Earbuds,2199,4.3,32,NovaBuds S wireless earbuds for everyday listening.,36,,True,IPX4,Bluetooth 5.3,4,USB-C,46,True,True,,,,,,,,,,,,,,,,
EB005,AeroPods Lite,Aero,Earbuds,1299,4.0,55,AeroPods Lite wireless earbuds for everyday listening.,28,,False,IPX4,Bluetooth 5.2,2,USB-C,38,False,False,,,,,,,,,,,,,,,,
EB006,BeatFlow X2,BeatFlow,Earbuds,2499,4.4,21,BeatFlow X2 wireless earbuds for everyday listening.,38,,True,IPX5,Bluetooth 5.3,4,USB-C,50,True,False,,,,,,,,,,,,,,,,
EB007,ZenPods Pro,ZenPods,Earbuds,3199,4.7,14,ZenPods Pro wireless earbuds for everyday listening.,50,,True,IPX5,Bluetooth 5.4,6,USB-C,54,True,True,,,,,,,,,,,,,,,,
EB008,ClearSound Buds,ClearSound,Earbuds,1599,4.1,44,ClearSound Buds wireless earbuds for everyday listening.,30,,False,IPX4,Bluetooth 5.2,4,USB-C,43,True,False,,,,,,,,,,,,,,,,
EB009,VibePods Neo,Vibe,Earbuds,1999,4.3,36,VibePods Neo wireless earbuds for everyday listening.,35,,True,IPX4,Bluetooth 5.3,4,USB-C,45,True,False,,,,,,,,,,,,,,,,
EB010,ThunderBuds,Thunder,Earbuds,2699,4.5,19,ThunderBuds wireless earbuds for everyday listening.,42,,True,IPX7,Bluetooth 5.3,4,USB-C,51,True,False,,,,,,,,,,,,,,,,
EB011,MiniBeat Air,MiniBeat,Earbuds,999,3.9,70,MiniBeat Air wireless earbuds for everyday listening.,24,,False,IPX4,Bluetooth 5.1,2,USB-C,36,False,False,,,,,,,,,,,,,,,,
EB012,SonicLoop Pro,SonicLoop,Earbuds,2999,4.6,16,SonicLoop Pro wireless earbuds for everyday listening.,48,,True,IPX5,Bluetooth 5.4,6,USB-C,53,True,True,,,,,,,,,,,,,,,,
EB013,WaveBuds 3,Wave,Earbuds,1899,4.2,39,WaveBuds 3 wireless earbuds for everyday listening.,34,,False,IPX5,Bluetooth 5.2,2,USB-C,47,True,False,,,,,,,,,,,,,,,,
EB014,UrbanPods ANC,UrbanSound,Earbuds,2299,4.4,27,UrbanPods ANC wireless earbuds for everyday listening.,37,,True,IPX4,Bluetooth 5.3,4,USB-C,49,True,True,,,,,,,,,,,,,,,,
EB015,FlexBuds Sport,Flex,Earbuds,2099,4.3,31,FlexBuds Sport wireless earbuds for everyday listening.,33,,False,IPX7,Bluetooth 5.3,4,USB-C,42,True,False,,,,,,,,,,,,,,,,
SW001,PulseFit Pro,PulseFit,Smartwatch,4499,4.4,18,PulseFit Pro smartwatch for fitness and everyday use.,,7,,5ATM,Bluetooth 5.3,,,42,,,True,AMOLED,1.43,True,True,True,True,True,,,,,,,,
SW002,NovaWatch Active,Nova,Smartwatch,3299,4.2,30,NovaWatch Active smartwatch for fitness and everyday use.,,10,,5ATM,Bluetooth 5.2,,,39,,,True,AMOLED,1.39,True,True,True,True,True,,,,,,,,
SW003,ZenTime X,ZenTime,Smartwatch,5299,4.6,12,ZenTime X smartwatch for fitness and everyday use.,,5,,5ATM,Bluetooth 5.3,,,45,,,True,AMOLED,1.5,True,True,True,True,True,,,,,,,,
SW004,FitCore Lite,FitCore,Smartwatch,2199,4.0,48,FitCore Lite smartwatch for fitness and everyday use.,,12,,IP68,Bluetooth 5.1,,,35,,,False,LCD,1.3,True,False,True,True,False,,,,,,,,
SW005,Orbit Watch S,Orbit,Smartwatch,3799,4.3,22,Orbit Watch S smartwatch for fitness and everyday use.,,8,,5ATM,Bluetooth 5.2,,,41,,,True,AMOLED,1.43,True,True,True,True,True,,,,,,,,
